249.0 93.0  5976.351244157959 4225.918491496753
710.0 57.0  12890.49697570663 9114.95782438684
281.0 53.0  8409.94469728076 5946.7289248510715
629.0 54.0  12465.403976458056 8814.371681983246
133.0 99.0  4233.369124162708 2993.444014961207
464.0 94.0  8114.709522730796 5737.966130881999
727.0 95.0  10103.76688483844 7144.44207979734
358.0 58.0  9074.139077620532 6416.385275215322
873.0 85.0  11705.112005394205 8276.76407356231
248.0 85.0  6238.702730913365 4411.429006835873
233.0 53.0  7658.0454671775415 5415.055880476142
647.0 74.0  10799.762259645573 7636.585128997936
243.0 82.0  6287.443933707258 4445.894241854623
231.0 96.0  5665.63103281532 4006.206123004656
486.0 86.0  8682.540620573393 6139.4833507350995
145.0 88.0  4688.355982450758 3315.1683078074493
157.0 63.0  5765.772019784254 4077.016493965102
784.0 63.0  12884.44367789657 9110.677496456805
250.0 90.0  6087.3274559165575 4304.390523381652
225.0 65.0  6795.360408169907 4805.045425223527
781.0 79.0  11483.912798543752 8120.3526144052685
433.0 78.0  8605.469340140755 6084.985725706452
568.0 85.0  9441.53526897475 6676.173613504
920.0 75.0  12792.080883630051 9045.367138301612
337.0 71.0  7957.262605256539 5626.6343478590325
727.0 98.0  9947.915380026272 7034.238423886529
538.0 60.0  10936.87950620895 7733.541663860528
225.0 71.0  6501.8957148914615 4597.534550567508
649.0 89.0  9862.914308240004 6974.133589618333
148.0 64.0  5554.165103775724 3927.387808709499
